post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
G22,1,0,0,2,0,1,1,0,0,0,0,18,0,0,0,0,0,0,0,1,0
G23,0,1,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,1,1,0
G3,2,1,2,2,0,1,3,5,0,0,1,53,0,0,0,0,0,0,1,0,0
G31,0,0,0,4,0,1,9,2,1,0,0,38,0,0,0,0,0,1,1,2,0
G32,1,0,2,1,0,0,4,2,0,1,1,30,0,0,0,0,0,1,0,0,0
G33,1,1,0,6,0,4,1,2,1,1,0,39,0,0,0,0,0,2,0,1,0
G34,0,0,0,0,0,1,2,1,1,0,0,9,0,0,1,0,0,0,0,1,0
G4,3,1,5,6,0,2,7,5,2,1,1,90,0,0,0,0,0,4,2,4,0
G40,6,6,5,23,2,20,26,5,6,2,2,172,0,1,1,4,1,10,3,18,0
G41,2,1,3,2,0,2,1,1,1,0,1,23,0,0,0,0,0,2,0,2,0
G42,0,0,1,1,0,1,2,0,0,0,0,13,0,0,0,0,0,1,1,0,0
G43,0,0,2,3,0,0,2,0,0,0,0,13,0,0,0,0,0,0,1,0,0
G44,1,0,1,5,0,2,4,1,0,0,0,21,0,1,0,0,0,1,1,1,0
